Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Aberdeen, SD Micro Area",42112,2576,2801,2945,2767,2917,2396,2571,3148,2086,2204,2389,2542,3158,2690,1680,1148,1119,975,38.2,97.6,22300,8137,3457,4426,2773,3507,70761,92189
"Aberdeen, WA Micro Area",76397,3610,3877,4936,4444,3529,4287,4641,4859,4317,4461,4487,5231,6280,5802,5302,2869,2050,1415,44.7,105.4,29889,9057,6419,6001,3655,4757,63539,82333
"Abilene, TX Metro Area",178244,11431,11484,11911,13196,17055,13122,12507,11590,11194,8670,9262,9596,9849,9008,6709,4592,3345,3723,34.4,103.5,79704,28824,15330,16934,8969,9647,66464,85850
"Ada, OK Micro Area",38158,2479,2789,2721,2470,2474,2437,2500,2478,2500,2147,2066,1984,2634,1849,1820,1165,859,786,37.5,95.8,17552,7003,2577,3725,2109,2138,62564,79510
"Adrian, MI Micro Area",98823,4994,5531,6054,6511,6219,5605,5766,6302,5683,5915,6626,6479,7479,6487,5406,3747,1943,2076,42.2,102.9,43982,14005,8320,8057,4278,9322,67013,83678
"Aguadilla, PR Metro Area",252430,7841,10484,14077,14764,16226,16554,14769,13738,16979,16170,16863,17366,18571,16082,15417,11499,8598,6432,45.2,94.0,77598,21877,17523,19523,8571,10104,20800,32182
"Akron, OH Metro Area",699508,35981,40128,39972,44276,49053,46253,44878,42331,41604,39972,45492,47883,50874,43447,35558,21467,14136,16203,40.8,95.5,352709,142589,58720,73206,25391,52803,71312,97914
"Alamogordo, NM Micro Area",68235,4155,4554,3838,4348,5983,5333,5011,4193,4067,3295,3611,4167,3957,3972,2957,2149,1274,1371,36.3,110.2,24036,7899,5317,4987,3752,2081,52717,71241
"Alamosa, CO Micro Area",27622,1582,1854,1956,2348,2162,1683,1869,2081,1346,1181,1261,1502,1842,1835,1297,857,466,500,36.0,98.9,12477,4347,2278,2947,1650,1255,48011,69691
"Albany, GA Metro Area",146768,9138,9652,10419,10356,9922,9138,9348,9406,8543,8439,9139,9131,9358,8433,6885,4364,2500,2597,38.2,89.8,60581,22528,9930,12943,5313,9867,54219,72897
